Date,Close
11/9/2018,55.46
11/12/2018,54.8
11/13/2018,55.17
11/14/2018,55.02
11/15/2018,55.37
11/16/2018,55.18
11/19/2018,54.41
11/20/2018,52.92
11/21/2018,53.7
11/23/2018,53.69
11/26/2018,54.13
11/27/2018,54.13
11/28/2018,55.48
11/29/2018,55.25
11/30/2018,55.3
12/3/2018,55.22
12/4/2018,54.19
12/6/2018,52.79
12/7/2018,52.49
12/10/2018,51.93
12/11/2018,51.86
12/12/2018,52.22
12/13/2018,52.22
12/14/2018,52
12/17/2018,51.31
12/18/2018,50.9
12/19/2018,50.13
12/20/2018,49.81
12/21/2018,48.76
12/24/2018,48.31
12/26/2018,49.53
12/27/2018,49.63
12/28/2018,49.52
12/31/2018,49.72
1/2/2019,50.26
1/3/2019,49.97
1/4/2019,50.76
1/7/2019,50.91
1/8/2019,51.11
1/9/2019,51.58
1/10/2019,51.95
1/11/2019,51.86
1/14/2019,51.7
1/15/2019,52.28
1/16/2019,53.28
1/17/2019,53.75
1/18/2019,54.51
1/22/2019,54.19
1/23/2019,54.09
1/24/2019,54.42
1/25/2019,55.06
1/28/2019,55.21
1/29/2019,55.65
1/30/2019,56.08
1/31/2019,56.31
2/1/2019,56.38
2/4/2019,56.61
2/5/2019,56.77
2/6/2019,56.61
2/7/2019,56.08
2/8/2019,56.28
2/11/2019,55.63
2/12/2019,56.34
2/13/2019,56.46
2/14/2019,56.17
2/15/2019,56.91
2/19/2019,57.26
2/20/2019,57.89
2/21/2019,57.78
2/22/2019,58.01
2/25/2019,58.06
2/26/2019,58.29
2/27/2019,58.74
2/28/2019,57.38
3/1/2019,56.5
3/4/2019,56.44
3/5/2019,56.28
3/6/2019,55.78
3/7/2019,55.4
3/8/2019,55.83
3/11/2019,56.09
3/12/2019,56.28
3/13/2019,56.57
3/14/2019,56.29
3/15/2019,56.59
3/18/2019,57.11
3/19/2019,57.02
3/20/2019,56.78
3/21/2019,56.03
3/22/2019,55.11
3/25/2019,55.11
3/26/2019,55.06
3/27/2019,54.41
3/28/2019,54.37
3/29/2019,54.33
4/1/2019,55.53
4/2/2019,55.65
4/3/2019,55.86
4/4/2019,56
4/5/2019,55.98
4/8/2019,56.32
4/9/2019,55.34
4/10/2019,55.38
4/11/2019,55.15
4/12/2019,55.85
4/15/2019,55.97
4/16/2019,56.5
4/17/2019,56.64
4/18/2019,56.56
4/22/2019,56.55
4/23/2019,56.13
4/24/2019,55.48
4/25/2019,55.67
4/26/2019,56.07
4/29/2019,56.65
4/30/2019,56.97
5/1/2019,56.65
5/2/2019,56.52
